id,name,name_en,heading,position.x,position.y,file
0,"2012年11月27日18:10録音, 嘉手納, F15戦闘機","recorded 13:30 November 27 2012 at Kadena, F15",190.6,127.7739129,26.3677948,2012_kadena_f15_2.mp3
1,"2012年11月28日16:00録音, 森川公園","recorded 16:00 November 28, 2012 at Morikawa Park",155.77,127.7407946,26.2713147,2012_morikawa_ch46.mp3
2,"2015年11月24日18:15録音, 新城, オスプレイ","recorded 18:15 November 24, 2015 at Arashiro, MV2",142.19,127.7718912,26.2857332,test.mp3
